timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498665,0.125338,0.013083,-0.089001,4.175869,0.435202,0.999968,0.001419,0.000855,0.007848
0.060000,5.496158,0.250711,0.026028,-0.141564,4.177123,0.431602,0.999774,0.002341,0.000612,0.021119
0.090000,5.493741,0.375196,0.038771,-0.180381,4.158296,0.426034,0.999505,0.002619,0.001038,0.031324
0.120000,5.493370,0.499404,0.050950,-0.191582,4.143492,0.414656,0.999157,0.004011,0.001446,0.040836
0.150000,5.494989,0.623274,0.062762,-0.192024,4.133420,0.404633,0.998534,0.004210,0.001161,0.053958
0.180000,5.493844,0.740594,0.074506,-0.230168,4.066200,0.396189,0.997774,0.003847,0.001056,0.066562
0.210000,5.488005,0.852285,0.086191,-0.304869,3.977317,0.388708,0.996789,0.003554,0.000975,0.079985
0.240000,5.475644,0.959283,0.098283,-0.416690,3.879554,0.384606,0.995597,0.003363,0.001012,0.093667
0.270000,5.455426,1.065792,0.110866,-0.562480,3.801399,0.385933,0.994225,0.002828,0.000559,0.107278
0.300000,5.426054,1.175888,0.120451,-0.743327,3.756808,0.359759,0.992825,0.005744,0.001606,0.119427
0.330000,5.389880,1.288754,0.133699,-0.926561,3.731801,0.364476,0.991345,0.007873,0.001590,0.131038
0.360000,5.347434,1.405422,0.148104,-1.108040,3.726122,0.374647,0.989816,0.009194,0.001370,0.142048
0.390000,5.293941,1.498879,0.153589,-1.328636,3.627427,0.342845,0.986872,0.002727,0.001337,0.161473
0.420000,5.239199,1.619152,0.161830,-1.498135,3.638337,0.333583,0.985496,0.002281,-0.000576,0.169680
0.450000,5.188072,1.739310,0.170748,-1.606682,3.669644,0.330898,0.983324,0.000531,-0.003060,0.181836
0.480000,5.133789,1.875369,0.180016,-1.688891,3.770167,0.323047,0.982161,-0.002835,-0.004372,0.187970
0.510000,5.080999,2.007291,0.194149,-1.762316,3.847535,0.326874,0.980222,-0.003457,-0.004291,0.197825
0.540000,5.033645,2.135062,0.202199,-1.792286,3.889235,0.298363,0.978738,-0.005021,-0.003512,0.205021
0.570000,4.977238,2.262228,0.206628,-1.882420,3.921341,0.269588,0.976072,-0.005160,-0.004626,0.217337
0.600000,4.927934,2.381201,0.211455,-1.923899,3.901473,0.235930,0.973834,-0.005406,-0.004374,0.227152
0.630000,4.870590,2.499578,0.213712,-2.003244,3.875887,0.201064,0.971097,-0.005579,-0.004901,0.238570
0.660000,4.813195,2.613380,0.215387,-2.072315,3.825607,0.165588,0.968435,-0.005743,-0.005169,0.249146
0.690000,4.750881,2.725653,0.215173,-2.156084,3.771287,0.129413,0.965530,-0.005968,-0.005756,0.260159
0.720000,4.680687,2.837335,0.208451,-2.264858,3.711183,0.066904,0.962814,-0.005130,-0.005577,0.270058
0.750000,4.602398,2.949908,0.201983,-2.391792,3.658606,0.020195,0.959965,-0.004190,-0.006277,0.280020
0.780000,4.519791,3.061921,0.195919,-2.516354,3.608112,-0.018862,0.957123,-0.003781,-0.006996,0.289573
0.810000,4.444190,3.172798,0.211944,-2.579474,3.567071,0.007892,0.954798,-0.000972,-0.005777,0.297199
0.840000,4.358589,3.292471,0.213988,-2.674010,3.572574,-0.014262,0.951616,-0.000875,-0.004566,0.307254
0.870000,4.284005,3.401919,0.256046,-2.711836,3.545281,0.077539,0.948181,0.003801,0.001076,0.317707
0.900000,4.210655,3.507607,0.265480,-2.740127,3.499804,0.050755,0.944602,0.003364,0.005548,0.328155
0.930000,4.152789,3.573064,0.271270,-2.735271,3.248774,-0.032847,0.939762,0.003877,0.005296,0.341766
0.960000,4.069727,3.669413,0.269705,-2.802208,3.174460,-0.071444,0.935802,0.003993,0.005420,0.352461
0.990000,3.984690,3.763534,0.266965,-2.866884,3.100299,-0.111232,0.931820,0.004336,0.005126,0.362859
1.020000,3.897748,3.855435,0.263011,-2.929280,3.026413,-0.152402,0.927660,0.004706,0.004936,0.373364
1.050000,3.808971,3.945114,0.257813,-2.989202,2.952233,-0.194131,0.923400,0.005175,0.004617,0.383777
1.080000,3.718430,4.032559,0.251360,-3.046825,2.877390,-0.236086,0.919016,0.005727,0.004245,0.394157
1.110000,3.626195,4.117743,0.243650,-3.102211,2.801551,-0.277855,0.914627,0.006395,0.003776,0.404231
1.140000,3.532336,4.200636,0.234699,-3.155022,2.724693,-0.318914,0.909839,0.007107,0.003060,0.414889
1.170000,3.436947,4.281212,0.224538,-3.204262,2.646979,-0.358471,0.905077,0.007794,0.002374,0.425171
1.200000,3.340137,4.359448,0.213227,-3.249705,2.568799,-0.395610,0.900078,0.008509,0.001531,0.435642
1.230000,3.242024,4.435324,0.200849,-3.291215,2.489622,-0.429583,0.895012,0.009229,0.000639,0.445945
1.260000,3.142722,4.508807,0.187519,-3.328909,2.409199,-0.459102,0.889771,0.009963,-0.000346,0.456298
1.290000,3.042333,4.579850,0.173387,-3.363651,2.327003,-0.483002,0.884421,0.010710,-0.001343,0.466565
1.320000,2.940932,4.648380,0.158647,-3.396406,2.241707,-0.499700,0.878897,0.011485,-0.002300,0.476868
1.350000,2.838556,4.714290,0.143543,-3.428702,2.152262,-0.507218,0.873104,0.012349,-0.002739,0.487370
1.380000,2.735197,4.777445,0.128373,-3.461892,2.058075,-0.504083,0.867778,0.011881,-0.004192,0.496792
1.410000,2.630821,4.837719,0.113448,-3.496520,1.960194,-0.490959,0.861071,0.011220,-0.006143,0.508324
1.440000,2.525382,4.895028,0.099019,-3.532724,1.860371,-0.470968,0.855811,0.012315,-0.006830,0.517097
1.470000,2.418806,4.949314,0.085247,-3.572380,1.758751,-0.447162,0.848820,0.013106,-0.007661,0.528465
1.500000,2.310957,5.000519,0.072209,-3.617499,1.654880,-0.422043,0.842514,0.013610,-0.008092,0.538441
1.530000,2.201642,5.048600,0.059915,-3.670188,1.550529,-0.397548,0.835801,0.013640,-0.008633,0.548795
1.560000,2.090612,5.093575,0.048322,-3.731795,1.447774,-0.375341,0.829663,0.012660,-0.008746,0.558052
1.590000,1.977615,5.135572,0.037334,-3.801343,1.352066,-0.357153,0.821699,0.011129,-0.009499,0.569733
1.620000,1.862535,5.174936,0.026810,-3.870697,1.272202,-0.344474,0.812963,0.009346,-0.009332,0.582166
1.650000,1.745404,5.212098,0.016553,-3.938036,1.205288,-0.339349,0.807887,0.010064,-0.009299,0.589179
1.680000,1.626362,5.247321,0.006341,-3.998077,1.142888,-0.341425,0.799810,0.008893,-0.009402,0.600114
1.710000,1.505743,5.280757,-0.003982,-4.043161,1.086150,-0.346795,0.795338,0.007405,-0.009943,0.606040
1.740000,1.383957,5.312499,-0.014506,-4.075918,1.030024,-0.354778,0.787848,0.005468,-0.010825,0.615750
1.770000,1.261310,5.342348,-0.025281,-4.100545,0.959897,-0.363580,0.777942,0.003657,-0.011598,0.628218
1.800000,1.137869,5.369804,-0.036302,-4.128854,0.870497,-0.371108,0.771729,0.001550,-0.011356,0.635848
1.830000,1.013481,5.394423,-0.047515,-4.163706,0.770782,-0.376440,0.763630,0.000547,-0.011119,0.645558
1.860000,0.888024,5.416002,-0.058863,-4.200105,0.667814,-0.380126,0.756861,-0.000332,-0.010393,0.653493
1.890000,0.761480,5.434529,-0.070290,-4.236150,0.567312,-0.381655,0.749813,-0.000755,-0.009296,0.661584
1.920000,0.633913,5.450118,-0.081743,-4.268287,0.471969,-0.381896,0.742719,-0.001158,-0.008933,0.669543
1.950000,0.505453,5.462922,-0.093185,-4.295747,0.381622,-0.380888,0.735526,-0.001777,-0.008498,0.677441
1.980000,0.376250,5.473083,-0.104578,-4.317767,0.295757,-0.378619,0.728325,-0.002250,-0.008094,0.685180
2.010000,0.246484,5.480722,-0.115885,-4.333296,0.213519,-0.375169,0.721039,-0.002550,-0.007522,0.692848
2.040000,0.116365,5.485928,-0.127068,-4.341288,0.133565,-0.370417,0.713455,-0.002565,-0.006479,0.700667
2.070000,-0.013878,5.488673,-0.138014,-4.341617,0.049427,-0.359268,0.707483,-0.004389,-0.002903,0.706710
2.100000,-0.143961,5.488862,-0.148539,-4.330579,-0.036820,-0.342437,0.698568,-0.002615,-0.002948,0.715533
2.130000,-0.273528,5.486459,-0.158476,-4.307234,-0.123413,-0.320043,0.691353,-0.003037,0.002403,0.722507
2.160000,-0.402274,5.481456,-0.167662,-4.275804,-0.210109,-0.292303,0.682805,-0.002158,0.002748,0.730592
2.190000,-0.529993,5.473730,-0.176054,-4.238778,-0.304928,-0.267186,0.673690,-0.003140,0.003930,0.738997
2.220000,-0.656566,5.463064,-0.183759,-4.199437,-0.406125,-0.246503,0.665425,-0.002548,0.004394,0.746447
2.250000,-0.781949,5.449357,-0.190979,-4.159452,-0.507724,-0.234788,0.657919,-0.000253,0.004710,0.753074
2.280000,-0.906117,5.432647,-0.197927,-4.118384,-0.606229,-0.228429,0.648901,-0.001550,0.006222,0.760846
2.310000,-1.029055,5.413062,-0.204709,-4.077486,-0.699493,-0.223731,0.640170,-0.001194,0.006341,0.768206
2.340000,-1.150797,5.390713,-0.211388,-4.038641,-0.790416,-0.221507,0.631082,-0.001167,0.007056,0.775683
2.370000,-1.271420,5.365656,-0.218002,-4.002929,-0.880056,-0.219407,0.621703,-0.000404,0.007976,0.783212
2.400000,-1.391007,5.337889,-0.224526,-3.969547,-0.971072,-0.215564,0.610563,0.001504,0.010227,0.791900
2.430000,-1.509595,5.307346,-0.230881,-3.936303,-1.065148,-0.208117,0.601594,0.000914,0.010746,0.798729
2.460000,-1.627218,5.273944,-0.236975,-3.905223,-1.161642,-0.198130,0.591437,0.001520,0.010023,0.806287
2.490000,-1.743923,5.237619,-0.242759,-3.875133,-1.260017,-0.187481,0.581941,0.001758,0.009203,0.813177
2.520000,-1.859749,5.198336,-0.248206,-3.846582,-1.358853,-0.175668,0.571870,0.001888,0.008098,0.820302
2.550000,-1.974731,5.156108,-0.253269,-3.818871,-1.456349,-0.161831,0.561233,0.000964,0.006701,0.827630
2.580000,-2.088899,5.110976,-0.257888,-3.792320,-1.552466,-0.146116,0.552334,0.000994,0.005214,0.833606
2.610000,-2.202253,5.062968,-0.262006,-3.764643,-1.648035,-0.128411,0.542378,0.001306,0.004512,0.840122
2.640000,-2.314723,5.012109,-0.265557,-3.733339,-1.742551,-0.108303,0.533137,0.001495,0.003757,0.846019
2.670000,-2.426210,4.958442,-0.268463,-3.699124,-1.835266,-0.085482,0.522954,0.002071,0.003163,0.852352
2.700000,-2.536625,4.902028,-0.270649,-3.661908,-1.925657,-0.060231,0.513727,0.002191,0.002364,0.857948
2.730000,-2.645877,4.842944,-0.272057,-3.621521,-2.013310,-0.033655,0.503319,0.002365,0.000469,0.864098
2.760000,-2.753877,4.781271,-0.272686,-3.578470,-2.098199,-0.008219,0.494626,0.001914,-0.003569,0.869097
2.790000,-2.860554,4.717063,-0.272584,-3.533371,-2.182340,0.014981,0.484434,0.001324,-0.005775,0.874808
2.820000,-2.965824,4.650335,-0.271801,-3.484610,-2.266203,0.037238,0.475136,0.001582,-0.006278,0.879889
2.850000,-3.070789,4.601774,-0.246136,-3.470867,-2.194245,0.213226,0.462878,-0.000925,-0.002007,0.886419
2.880000,-3.174070,4.534873,-0.239126,-3.414542,-2.265789,0.254079,0.453402,-0.000640,-0.001100,0.891305
2.910000,-3.275540,4.465755,-0.230927,-3.350099,-2.342116,0.292551,0.443142,-0.000655,-0.000037,0.896451
2.940000,-3.374950,4.394264,-0.221642,-3.277235,-2.423945,0.326441,0.433313,0.000793,0.001660,0.901242
2.970000,-3.472053,4.320228,-0.211408,-3.196313,-2.511792,0.355826,0.422703,-0.001542,0.001759,0.906265
3.000000,-3.566634,4.243450,-0.200349,-3.109119,-2.606749,0.381428,0.410875,-0.000970,0.001923,0.911689
3.030000,-3.658504,4.163692,-0.188598,-3.015519,-2.710441,0.401943,0.401162,-0.002317,0.001868,0.916002
3.060000,-3.747554,4.080738,-0.176290,-2.921135,-2.819852,0.418646,0.389554,-0.002295,0.002043,0.920999
3.090000,-3.833796,3.994470,-0.163539,-2.828365,-2.931328,0.431357,0.379229,-0.003281,0.002413,0.925294
3.120000,-3.917325,3.904853,-0.150456,-2.740254,-3.043106,0.440863,0.368346,-0.003391,0.002565,0.929679
3.150000,-3.998291,3.811904,-0.137131,-2.657460,-3.153501,0.447464,0.357780,-0.004264,0.002748,0.933792
3.180000,-4.076884,3.715701,-0.123638,-2.582093,-3.260066,0.452077,0.346940,-0.004452,0.002831,0.937873
3.210000,-4.153354,3.616398,-0.110038,-2.515885,-3.360140,0.454622,0.336155,-0.005111,0.002961,0.941788
3.240000,-4.228003,3.514260,-0.096380,-2.460685,-3.449023,0.455862,0.323716,-0.005356,0.002869,0.946135
3.270000,-4.301130,3.409600,-0.082708,-2.414442,-3.528299,0.455611,0.314918,-0.006080,0.002892,0.949095
3.300000,-4.372921,3.302651,-0.069071,-2.371648,-3.601677,0.453527,0.302714,-0.006216,0.002560,0.953058
3.330000,-4.443411,3.193566,-0.055528,-2.327695,-3.670605,0.449329,0.295169,-0.007175,0.001261,0.955417
3.360000,-4.512517,3.082421,-0.042128,-2.279364,-3.739116,0.444063,0.283942,-0.009360,-0.000536,0.958796
3.390000,-4.580078,2.969213,-0.028932,-2.224739,-3.808038,0.435616,0.275723,-0.007934,-0.000311,0.961204
3.420000,-4.645917,2.853971,-0.016067,-2.164496,-3.874782,0.422041,0.263297,-0.009040,0.000718,0.964672
3.450000,-4.709958,2.736844,-0.003671,-2.104898,-3.933674,0.404416,0.254406,-0.007683,0.001189,0.967066
3.480000,-4.772224,2.618064,0.008145,-2.046202,-3.984980,0.383286,0.242688,-0.008796,0.001662,0.970063
3.510000,-4.832729,2.497871,0.019312,-1.987445,-4.027912,0.361161,0.234010,-0.007704,0.001137,0.972203
3.540000,-4.891428,2.376505,0.029814,-1.925791,-4.063130,0.338968,0.222081,-0.008217,0.001781,0.974992
3.570000,-4.948232,2.254258,0.039675,-1.861186,-4.086665,0.318474,0.214279,-0.006581,0.001075,0.976750
3.600000,-5.003016,2.131484,0.048968,-1.791056,-4.098288,0.301015,0.201590,-0.006557,0.002471,0.979445
3.630000,-5.055615,2.008586,0.057815,-1.715520,-4.094941,0.288823,0.196204,-0.004219,0.002275,0.980551
3.660000,-5.105843,1.885965,0.066371,-1.633024,-4.079776,0.281605,0.185037,-0.003137,0.004597,0.982716
3.690000,-5.153467,1.763957,0.074792,-1.541898,-4.054092,0.279769,0.176899,-0.000892,0.003673,0.984222
3.720000,-5.198229,1.642681,0.083203,-1.442251,-4.030990,0.280988,0.164431,0.000012,0.003660,0.986382
3.750000,-5.239862,1.521946,0.091676,-1.333319,-4.017977,0.283862,0.149722,0.001654,0.000845,0.988726
3.780000,-5.278149,1.401384,0.100228,-1.219138,-4.019527,0.286272,0.139631,0.001335,0.000439,0.990203
3.810000,-5.313023,1.280641,0.108837,-1.105794,-4.029970,0.287680,0.128539,0.001324,0.000748,0.991703
3.840000,-5.344509,1.159532,0.117444,-0.993231,-4.043953,0.286062,0.116371,0.002159,0.000363,0.993203
3.870000,-5.372629,1.037973,0.125939,-0.881432,-4.060021,0.280283,0.103618,0.003287,0.000490,0.994612
3.900000,-5.397419,0.915904,0.134219,-0.771285,-4.077917,0.271720,0.091357,0.003995,0.001190,0.995809
3.930000,-5.418955,0.793282,0.142221,-0.664451,-4.096839,0.261763,0.079553,0.004919,0.001441,0.996817
3.960000,-5.437367,0.670112,0.149902,-0.562977,-4.114482,0.250284,0.068078,0.005651,0.001739,0.997662
3.990000,-5.452859,0.546458,0.157233,-0.469846,-4.129155,0.238471,0.058738,0.005894,0.002490,0.998253
4.020000,-5.465674,0.422431,0.164207,-0.384453,-4.139331,0.226464,0.046843,0.006609,0.001986,0.998878
4.050000,-5.475987,0.298183,0.170806,-0.303136,-4.143843,0.213488,0.035230,0.006992,0.000605,0.999355
4.080000,-5.483906,0.173870,0.177008,-0.224765,-4.143689,0.199935,0.022856,0.007387,-0.002287,0.999709
4.110000,-5.489455,0.049620,0.182795,-0.145166,-4.139666,0.185880,0.010540,0.007593,-0.003194,0.999911
4.140000,-5.492532,-0.074451,0.188145,-0.059995,-4.131733,0.170807,0.001474,-0.008519,0.004406,-0.999953
4.170000,-5.492945,-0.198243,0.193023,0.032475,-4.121036,0.154357,0.013282,-0.009158,0.005261,-0.999856
4.200000,-5.490475,-0.321681,0.197394,0.132177,-4.108178,0.137023,0.024898,-0.009640,0.005724,-0.999627
4.230000,-5.484906,-0.444703,0.201234,0.239134,-4.093309,0.119031,0.036203,-0.010203,0.005693,-0.999276
4.260000,-5.476019,-0.567269,0.204515,0.353296,-4.077716,0.099692,0.046883,-0.011252,0.005080,-0.998824
4.290000,-5.463620,-0.689362,0.207200,0.473295,-4.061824,0.079271,0.058715,-0.011369,0.005123,-0.998197
4.320000,-5.447589,-0.810976,0.209282,0.595466,-4.045804,0.059547,0.070755,-0.011395,0.005446,-0.997414
4.350000,-5.427901,-0.932127,0.210782,0.717057,-4.030925,0.040442,0.083075,-0.011203,0.006056,-0.996462
4.380000,-5.404620,-1.052846,0.211735,0.834984,-4.016998,0.023142,0.096094,-0.010456,0.006994,-0.995293
4.410000,-5.377885,-1.173170,0.212192,0.947352,-4.004569,0.007279,0.107898,-0.010396,0.007055,-0.994083
4.440000,-5.347854,-1.293130,0.212171,1.054739,-3.992829,-0.008689,0.119048,-0.011079,0.005864,-0.992809
4.470000,-5.314709,-1.412733,0.211673,1.154915,-3.980645,-0.024493,0.130340,-0.010391,0.005547,-0.991399
4.500000,-5.278741,-1.531985,0.210725,1.242967,-3.969488,-0.038687,0.140668,-0.009416,0.004611,-0.990001
4.530000,-5.240337,-1.650914,0.209371,1.317285,-3.959147,-0.051604,0.151605,-0.008787,0.003788,-0.988395
4.560000,-5.199890,-1.769515,0.207631,1.379176,-3.947565,-0.064392,0.162563,-0.008306,0.003009,-0.986659
4.590000,-5.157743,-1.887732,0.205496,1.430667,-3.933574,-0.077922,0.173462,-0.008016,0.002019,-0.984806
4.620000,-5.114159,-2.005482,0.202944,1.474882,-3.916408,-0.092198,0.182502,-0.007458,0.001934,-0.983175
4.650000,-5.069324,-2.122647,0.199955,1.514124,-3.894612,-0.107101,0.194940,-0.006823,0.002113,-0.980789
4.680000,-5.023350,-2.239065,0.196496,1.550816,-3.866581,-0.123463,0.205400,-0.006618,0.002057,-0.978653
4.710000,-4.976236,-2.354539,0.192528,1.590103,-3.831668,-0.141081,0.217037,-0.006066,0.001965,-0.976143
4.740000,-4.927824,-2.468806,0.188016,1.637364,-3.786130,-0.159748,0.229062,-0.005818,0.001505,-0.973393
4.770000,-4.877830,-2.581540,0.182929,1.695633,-3.729491,-0.179373,0.240747,-0.005605,0.000629,-0.970572
4.800000,-4.825932,-2.692452,0.177216,1.764175,-3.664649,-0.201512,0.252121,-0.006627,-0.001659,-0.967672
4.830000,-4.771841,-2.801313,0.170820,1.841935,-3.592773,-0.224907,0.263939,-0.004817,-0.001604,-0.964526
4.860000,-4.715310,-2.907957,0.163730,1.926769,-3.516815,-0.247724,0.275143,-0.004983,-0.002305,-0.961388
4.890000,-4.656111,-3.012270,0.155944,2.019867,-3.437391,-0.271369,0.285475,-0.005258,-0.003518,-0.958365
4.920000,-4.594012,-3.114153,0.147472,2.120025,-3.354797,-0.293417,0.297730,-0.003719,-0.002947,-0.954638
4.950000,-4.528846,-3.213542,0.138394,2.224362,-3.271165,-0.311773,0.308788,-0.004153,-0.003458,-0.951115
4.980000,-4.460489,-3.310435,0.128830,2.332794,-3.188349,-0.325837,0.319964,-0.003026,-0.004586,-0.947414
5.010000,-4.388866,-3.404876,0.118937,2.442099,-3.107691,-0.333709,0.331589,-0.003136,-0.004725,-0.943407
5.040000,-4.313973,-3.496968,0.108890,2.550724,-3.031793,-0.336057,0.342919,-0.003609,-0.003873,-0.939350
5.070000,-4.235883,-3.586891,0.098835,2.655334,-2.963091,-0.334321,0.355748,-0.005206,-0.003518,-0.934561
5.100000,-4.154737,-3.674872,0.088883,2.754382,-2.902264,-0.329104,0.366001,-0.004183,-0.002507,-0.930602
5.130000,-4.070709,-3.761139,0.079121,2.847438,-2.848900,-0.321683,0.377645,-0.005194,-0.003150,-0.925930
5.160000,-3.983970,-3.845856,0.069567,2.935169,-2.798863,-0.315287,0.387939,-0.003867,-0.002992,-0.921672
5.190000,-3.894690,-3.929101,0.060168,3.016838,-2.750834,-0.311287,0.399518,-0.004441,-0.003583,-0.916708
5.220000,-3.803041,-4.010912,0.050818,3.093120,-2.703230,-0.312050,0.409054,-0.004190,-0.002007,-0.912499
5.250000,-3.709174,-4.091310,0.041389,3.164653,-2.656655,-0.316526,0.420408,-0.004398,-0.001801,-0.907323
5.280000,-3.613210,-4.170265,0.031795,3.232995,-2.606969,-0.323112,0.430322,-0.003251,-0.001613,-0.902668
5.310000,-3.515232,-4.247673,0.021992,3.298856,-2.553615,-0.330421,0.440913,-0.003090,-0.001604,-0.897543
5.340000,-3.415310,-4.323412,0.011958,3.362621,-2.495632,-0.338490,0.450823,-0.002550,-0.001227,-0.892609
5.370000,-3.313495,-4.397339,0.001681,3.425040,-2.432846,-0.346687,0.461008,-0.002390,-0.000900,-0.887392
5.400000,-3.209812,-4.469299,-0.008841,3.487134,-2.364460,-0.354778,0.470683,-0.002088,-0.000369,-0.882300
5.430000,-3.104254,-4.539119,-0.019597,3.550050,-2.290212,-0.362239,0.479767,-0.002159,0.000301,-0.877393
5.460000,-2.996806,-4.606639,-0.030569,3.613186,-2.211157,-0.369261,0.490354,-0.001311,-0.000019,-0.871522
5.490000,-2.887494,-4.671747,-0.041748,3.674246,-2.129320,-0.376000,0.499124,-0.001191,0.000123,-0.866530
5.520000,-2.776376,-4.734376,-0.053122,3.733641,-2.045969,-0.382279,0.509533,-0.000822,0.000346,-0.860451
5.550000,-2.663513,-4.794485,-0.064671,3.790559,-1.961333,-0.387620,0.518232,-0.000847,0.000481,-0.855240
5.580000,-2.548974,-4.852040,-0.076362,3.845349,-1.875651,-0.391793,0.528473,-0.000549,0.000637,-0.848949
